VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
001,7,0.0,CD 7 - C9,1,15,1.6,2.4,2633.792
002,12,0.0,,0,,0,0.0,0.0
003,5,0.0,CD 5 - C1-C1 - C2-C2 - C4,3,6,16.21,24.315,26683.605199999998
004,4,0.0,CD 4 - C7-C7 - C8,2,10,7.9799999999999995,11.969999999999999,13136.037599999998
005,6,0.0,CD 6 - C6,1,11,3.53,5.295,5810.803599999999
006,9,0.0,CD 9 - C3-C3 - C5,2,5,2.6799999999999997,4.02,4411.601599999999
