VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
001,1,0.0,CD 1 - C1-C1 - C7-C7 - C9-C9 - C11-C11 - C15-C15 - C16-C16 - C22-C22 - C24,8,11,136.78,205.17000000000002,225156.29359999998
002,1,0.0,CD 1 - C3-C3 - C4-C4 - C5-C5 - C12-C12 - C13-C13 - C17-C17 - C20-C20 - C23,8,15,74.4,111.60000000000001,122471.328
003,1,0.0,CD 1 - C14,1,15,4.0,6.0,6584.48
004,1,0.0,,0,,0,0.0,0.0
005,1,0.0,,0,,0,0.0,0.0
006,1,0.0,,0,,0,0.0,0.0
007,1,0.0,,0,,0,0.0,0.0
008,1,0.0,CD 1 - C2-C2 - C6-C6 - C8-C8 - C10-C10 - C18-C18 - C19-C19 - C21,7,14,89.52999999999999,134.295,147377.12359999996
